"Lois","Maxwell","Peter R. Hunt","1969"
"Lois","Maxwell","Guy Hamilton","1971"
"Lois","Maxwell","Guy Hamilton","1973"
"Lois","Maxwell","Guy Hamilton","1974"
"Lois","Maxwell","Lewis Gilbert","1977"
"Lois","Maxwell","Lewis Gilbert","1979"
"Lois","Maxwell","John Glen","1981"
"Lois","Maxwell","John Glen","1983"
"Lois","Maxwell","John Glen","1985"
"Caroline","Bliss","John Glen","1987"
"Caroline","Bliss","John Glen","1989"
"Samantha","Bond","Martin Campbell","1995"
"Samantha","Bond","Roger Spottiswoode","1997"
"Samantha","Bond","Michael Apted","1999"
"Samantha","Bond","Lee Tamahori","2002"
"Desmond","Llewelyn","Terence Young","1963"
"Desmond","Llewelyn","Guy Hamilton","1964"
"Desmond","Llewelyn","Terence Young","1965"
"Desmond","Llewelyn","Lewis Gilbert","1967"
"Desmond","Llewelyn","Peter R. Hunt","1969"
"Desmond","Llewelyn","Guy Hamilton","1971"
"Desmond","Llewelyn","Guy Hamilton","1974"
"Desmond","Llewelyn","Lewis Gilbert","1977"
"Desmond","Llewelyn","Lewis Gilbert","1979"
"Desmond","Llewelyn","John Glen","1981"
"Desmond","Llewelyn","John Glen","1983"
"Desmond","Llewelyn","John Glen","1985"
"Desmond","Llewelyn","John Glen","1987"
"Desmond","Llewelyn","John Glen","1989"
"Desmond","Llewelyn","Martin Campbell","1995"
"Desmond","Llewelyn","Roger Spottiswoode","1997"
"Desmond","Llewelyn","Michael Apted","1999"
"John","Cleese","Michael Apted","1999"
"John","Cleese","Lee Tamahori","2002"
"Joaquin","Phoenix","M. Night Shyamalan","2004"
"Diane","Kruger","Wolfgang Peterson","2004"
"Nicholas","Cage","Jon Turteltaub","2004"
"Holly","Hunter","Brad Bird","2004"
"Nona","Gaye","Robert Zemeckis","2004"
"Ron","Perlman","Guillermo del Toro","2004"
"Adam","Sandler","Peter Segal","2004"
"Bryce","Howard","M. Night Shyamalan","2004"
"Adrien","Brody","M. Night Shyamalan","2004"
"William","Hurt","M. Night Shyamalan","2004"
"Sigourney","Weaver","M. Night Shyamalan","2004"
"Brendan","Gleeson","M. Night Shyamalan","2004"
"Micheal","Pitt","M. Night Shyamalan","2004"
"John","Hurt","Guillermo del Toro","2004"
"Selma","Blair","Guillermo del Toro","2004"
"Jeffery","Tambor","Guillermo del Toro","2004"
"David","Pierce","Guillermo del Toro","2004"
"Jackie","Chan","Brett Ratner","2001"
"Chris","Tucker","Brett Ratner","2001"
"Chris","Tucker","Luc Besson","1997"
"Bruce","Willis","Luc Besson","1997"
"Jennifer","Lopez","Peter Chelsom","2004"
"Richard","Gere","Peter Chelsom","2004"
"Richard","Gere","Garry Marshall","1999"
"Julia","Roberts","Garry Marshall","1999"
"Julia","Roberts","Steven Soderbergh","2004"
"Brad","Pitt","Steven Soderbergh","2004"
"Catherine","Zeta-Jones","Steven Soderbergh","2004"
"George","Clooney","Steven Soderbergh","2004"
"Catherine","Zeta-Jones","Joel Coen","2003"
"George","Clooney","Joel Coen","2003"
"Johnny","Depp","Marc Forster","2004"
"Kate","Winslet","Marc Forster","2004"
"Johnny","Depp","Tim Burton","1999"
"Christina","Ricci","Tim Burton","1999"
"Kate","Winslet","Michel Gondry","2004"
"Jim","Carrery","Michel Gondry","2004"
"Al","Pacino","Brian De Palma","1983"
"Al","Pacino","Francis Ford Coppola","1972"
"Al","Pacino","Oliver Stone","1999"
"Marlon","Brando","Francis Ford Coppola","1972"
"Giovanni","Ribisi","Ben Younger","2000"
"Sylvester","Stallone","Renny Harlin","2001"
"Paul","Walker","Rob Cohen","2001"
"Vin","Diesel","Rob Cohen","2001"
"Vin","Diesel","Ben Younger","2000"
"Josh","Hartnett","Ridley Scott","2002"
"Michelle","Pfeiffer","Brian De Palma","1983"
"Steven","Bauer","Brian De Palma","1983"
"Gina","Gershon","Renny Harlin","2001"
"Estella","Warren","Renny Harlin","2001"
"Jordana","Brewster","Rob Cohen","2001"
"Jamie","Foxx","Oliver Stone","1999"
"Ice","Cube","Brian Levant","2005"
"Asanee","Suwan","Ekachai Uekrongtham","2005"
"Christian","Slater","Uwe Boll","2005"
"Robert","De Niro","John Polson","2005"
"Samuel","Jackson","Thomas Carter","2005"
"Emmet","Walsh","Frederik Du Chau","2005"
"Colin","Farrell","Oliver Stone","2005"
"Laurence ","Fishburne","Wachowski Brothers","2003"
"Laurence ","Fishburne","Wachowski Brothers","2003"
"Orlando","Bloom","Peter Jackson","2001"
"Orlando","Bloom","Peter Jackson","2002"
"Orlando","Bloom","Peter Jackson","2003"
"Liv","Tyler","Peter Jackson","2001"
"Liv","Tyler","Peter Jackson","2002"
"Liv","Tyler","Peter Jackson","2003"
"Hugo","Weaving","Wachowski Brothers","2003"
"Hugo","Weaving","Wachowski Brothers","2003"
"Hugo","Weaving","Peter Jackson","2001"
"Hugo","Weaving","Peter Jackson","2002"
"Hugo","Weaving","Peter Jackson","2003"
"Viggo","Mortensen","Peter Jackson","2001"
"Viggo","Mortensen","Peter Jackson","2002"
"Viggo","Mortensen","Peter Jackson","2003"
"Ian","McKellen","Peter Jackson","2001"
"Ian","McKellen","Peter Jackson","2002"
"Ian","McKellen","Peter Jackson","2003"
"Elijah","Wood","Peter Jackson","2001"
"Elijah","Wood","Peter Jackson","2002"
"Elijah","Wood","Peter Jackson","2003"
"Zhang","Ziyi","Ang Lee","2000"
"Jennifer","Aniston","John Hamburg","2004"
"Jennifer","Aniston","Tom Shadyac","2003"
"Meryl","Streep","Brad Silberling","2004"
"Kelly","Hu","Bryan Singer","2003"
"Halle","Berry","Bryan Singer","2003"
"Rebecca","Romijn-Stamos","Bryan Singer","2003"
"Hugh","Jackman","Bryan Singer","2003"
"Franka","Potente","Doug Liman","2004"
"Chris","Cooper","Doug Liman","2004"
"Brian","Cox","Doug Liman","2004"
"Greg","Ellis","Doug Liman","2005"
"Nickolas","Cage","Dominic Sena","2000"
"Giovanni","Ribsi","Dominic Sena","2000"
"William","Scott","Dominic Sena","2000"
"Scott","Caan","Dominic Sena","2000"
"Aishwarya","Rai","Gurinder Chadha","2005"
"TommyLee","Jones","William Friedkin","2003"
"Benicio","Del Toro","William Friedkin","2003"
"Ian","Holm","Peter Jackson","2003"
"Ian","Holm","Peter Jackson","2002"
"Don","Cheadle","Terry George","2004"
"Samuel","Jackson","Kevin Reynolds","1997"
"Tony","Shalhoub","Steve Beck","2001"
"Steve","Coogan","Michael Winterbottom","2002"
"Keir","Dullea","Stanley Kubrick","1968"
"Malcolm","McDowell","Stanley Kubrik","1971"
"Kurt","Russell","Demian Lichtenstein","2001"
"Hilary","Swank","Charles Shyer","2001"
"Christian","Bale","Christopher Nolan","2005"
"Timothy","Spall","Mike Leigh","2002"
"Tara","Subkoff","Alex Sichel","1997"
"Tara","Subkoff","Kevin Reynolds","1997"
"Timothy","Spall","Steve Beck","2001"
"Christian","Bale","Michael Winterbottom","2002"
"Hilary","Swank","Stanley Kubrick","1968"
"Kurt","Russell","Stanley Kubrik","1971"
"Malcolm","McDowell","Demian Lichtenstein","2001"
"Keir","Dullea","Charles Shyer","2001"
"Steve","Coogan","Christopher Nolan","2005"
"Tony","Shalhoub","Mike Leigh","2002"
"Samuel","Jackson","Alex Sichel","1997"
"Colin","Ferrell","Terrence Malick","2005"
"Colin","Ferrell","Oliver Stone","2004"
"Clint","Eastwood","Clint Eastwood","2005"
"Kirsten","Dunst","Sam Raimi","2005"
"Geoffrey","Rush","Russell Mulcahy","2003"
"Frankie","Muniz","Frederik Du Chau","2005"
"Whoopi","Goldberg","Frederik Du Chau","2005"
"Naomi","Watts","Hideo Nakata","2005"
"Jamie","Kennedy","Larry Guterman","2005"
"Martin","Henderson","Gurinder Chadha","2004"
"Sandra","Bullock","John Pasquin","2005"
"Gregory","Peck","William Wyler","1953"
"Audrey","Hepburn","William Wyler","1953"
"Audrey","Hepburn","Blake Edwards","1961"
"Jodie","Foster","Andy Tennant","1999"
"Yun-Fat","Chow","Andy Tennant","1999"
"Clark","Gable","Victor Flemming, George Cukor, Sam Wood","1939"
"Vivien","Leigh","Victor Flemming, George Cukor, Sam Wood","1939"
"Macaulay","Culkin","Chris Columbus","1990"
"Macaulay","Culkin","Chris Columbus","1992"
"Charles","Chaplin","Charles Chaplin","1931"
"Richard","Chamberlain","Jerry London","1980"
"Timothy","Dalton","John Glen","1989"
"George","Peppard","Blake Edwards","1961"
"Patricia","Neal","Blake Edwards","1961"
"Buddy","Ebsen","Blake Edwards","1961"
"Mickey","Rooney","Blake Edwards","1961"
"Leonardo","DiCaprio","Martin Scorsese","2004"
"Jennifer","Garner","Rob Bowman","2005"
"Brad","Pitt","Steven Soderbergh","2004"
"Sean","Astin","Richard Donner","1985"
"Leonardo","DiCaprio","Thomas Carter","2005"
"Leonardo","DiCaprio","Jean-Fran?is Richet","2005"
"Catherine","Zeta-Jones","Steven Soderbergh","2004"
