"217018","Million Dollar Baby","2005"
"217019","The Machinist","2005"
"217020","Alexander","2004"
"631001","Roman Holiday","1953"
"631002","Breakfast at Tiffany's","1961"
"631003","Anna and the King","1999"
"631004","Gone with the Wind","1939"
"631005","Home Alone","1990"
"631006","Home Alone 2: Lost in New York","1992"
"631008","City Light","1931"
"631009","Shogun","1980"
"631010","License To Kill","1989"
"693004","The Goonies","1985"
"693006","Assault on Precinct 13","2005"
"693009","The Sixth Sense","1999"
"48011","The Phantom of the Opera","2004"
"422102","Eternal Sunshine of the Spotless Mind","2004"
"422103","Le Fabuleux destin dAm?ie Poulain","2001"
"422104","Ghost World","2004"
"422105","Girl with a Pearl Earring","2003"
"422106","I Heart Huckabees","2004"
"422108","Donnie Darko","2001"
"422109","The Princess Bride","1987"
"422110","Vampire Effect","2003"
"658003","American Beauty","1999"
"658004","Shakespeare in Love","1998"
"658008","Catch Me If You Can","2002"
"658009","8 Mile","2002"
"156008","Snatch","2000"
"490011","Traffic","2000"
"764003","National Treasure","2004"
"671006","Braveheart","1995"
"693003","Ocean's Twelve","2004"
"855003","Shall We Dance","2004"
"326005","Bruce Almighty","2003"
"907007","Batman Begins","2005"
"855007","Finding Neverland","2004"
"693008","Independence Day","1996"
"412008","White Noise","2005"
"872005","Starsky & Hutch","2004"
"872006","Training Day","2001"
"490006","Cold Mountain","2003"
"755005","Moulin Rouge","2001"
"788018","The terminal","2004"
"755003","Garden State","2004"
"855006","Intolerable Cruelty","2003"
"658006","Mystic River","2003"
"788013","A Beautiful Mind","2001"
"872003","Meet the Fockers","2004"
"907004","A Clockwork Orange","1971"
"764010","Oceans Twelve","2004"
"755012","The Matrix","1999"
"693007","Forrest Gump","1994"
"634003","The Matrix Revolutions","2003"
"634004","The Lord of the Rings: The Fellowship of the Ring","2001"
"755007","Raiders Of The Lost Ark","1981"
"492006","In Good Company","2004"
"140003","Mr. and Mrs. Smith","2005"
"658001","Titanic","1997"
"872001","Catwoman","2004"
"788010","Love Actually","2003"
"683001","The Godfather","1972"
"693005","Coach Carter","2005"
"788005","Good Will Hunting","1997"
"764005","The Incredibles","2004"
"671020","Indiana Jones and the Last Crusade","1989"
"634009","Ocean's Eleven","2001"
"140004","Gone in 60 Seconds","2000"
"755006","Oceans Eleven","2001"
"693000","The Aviator","2004"
"693001","Elektra","2005"
"764002","Troy","2004"
"683003","Boiler Room","2000"
"872009","Eyes Wide Shut","1999"
"788011","Fahrenheit 9/11","2004"
