"Michael","Douglas","Steven Soderbergh"
"Julie","Andrews","Robert Wise"
"Zach","Braff","Zach Braff"
"Harrison","Ford","Steven Spielberg"
"Jet","Li","Zhang Yimou"
"Mike","Myers","Andrew Adamson Vicky Jenson"
"Keanu","Reeves","Wachowski Brothers"
"Audrey","Tautou","Jean-Pierre Jeunet"
"Marlon","Wayans","Keenan Ivory Wayans"
"Ewan","MacGregor","Baz Luhrmann"
"Ewan","MacGregor","George Lucas"
"Natalie","Portman","Zach Braff"
"Natalie","Portman","George Lucas"
"Cameron","Diaz","Andrew Adamson Vicky Jenson"
"New Eddie","Murphy","Andrew Adamson Vicky Jenson"
"Kristin","Kreuk","Jeff Schaffer"
"Kirsten Dunst","Kreuk","Sam Raimi"
"Kristin","Kreuk","Alfred Gough"
"Kirsten Dunst","Kreuk","Sam Raimi"
"Madeleine","Stowe","Terry Gilliam"
"Rutger","Hauer","Ridley Scott"
"Daryl","Hannah","Ridley Scott"
"Kevin","Spacey","Bryan Singer"
"Gabriel","Byrne","Bryan Singer"
"Bill","Murray","Wes Anderson"
"Cate ","Blanchett","Wes Anderson"
"Kiefer","Sutherland","Joel Schumacher"
"Jeff","Daniels","Peter Farrelly"
"Will","Farrel","Jon Favreau"
"Graham","Chapman","Terry Jones"
"Mel","Gibson","Mel Gibson"
"Jim","Carrey","Chuck Russell"
"Casper","Van Dien","Paul Verhoeven"
"Brendan","Fraser","Stephen Sommers"
"Brendan","Fraser","Stephen Sommers"
"Brendan","Fraser","Hugh Wilson"
"Charlotte","Ayanna","Peter Sehr"
"Arnold","Schwarzenegger","James Cameron"
"Linda","Hamilton","James Cameron"
"Jeff","Goldblum","Steven Spielberg"
"Linda","Hamilton","Steven Spielberg"
"Vinnie","Jones","Guy Ritchie"
"Samuel L.","Jackson","Steven Spielberg"
"Halle","Barry","Pitof"
"Ice","Cube","Brian Levant"
"Ben","Stiller","Jay Roach"
"Ben","Stiller","Rawson Marshall Thurber"
"Vince","Vaughn","Rawson Marshall Thurber"
"Vince","Vaughn","Todd Phillips"
"Snoop","Dogg","Todd Phillips"
"Snoop","Dogg","Antonie Fuqua"
"Denzel","Washington","Antonie Fuqua"
"Denzel","Washington","Tony Scott"
"Christopher","Walken","Tony Scott"
"Christopher","Walken","Frank Oz"
"Nicole","Kidman","Frank Oz"
"Nicole","Kidman","Stanley Kubrick"
"Tom","Cruise","Stanley Kubrick"
"Tom","Cruise","Michael Mann"
"Jamie","Fox","Michael Mann"
"Jamie","Fox","Taylor Hackford"
"Kerry","Washington","Taylor Hackford"
"Kerry","Washington","Joel Schumacher"
"Meg","Ryan","Rob Reiner"
"Meg","Ryan","Taylor Hackford"
"Meg","Ryan","Edward Zwick"
"Meg","Ryan","Nora Ephron"
"Robin","Williams","Bill Forsyth"
"Robin","Williams","Gus Van Sant"
"Russell","Crowe","Peter Weir"
"Russell","Crowe","Ron Howard"
"Russell","Crowe","Taylor Hackford"
"Matt","Damon","Gus Van Sant"
"Matt","Damon","Edward Zwick"
"Angelina","Jolie","Phillip Noyce"
"Tobey","Maguire","Ang Lee"
"Tom","Hanks","Jonathan Demme"
"Tom","Hanks","Nora Ephron"
"Tom","Hanks","Steven Spielberg"
"Kate","Hudson","Cameron Crowe"
"Sean","Connery","Terence Young"
"Sean","Connery","Terence Young"
"Sean","Connery","Guy Hamilton"
"Sean","Connery","Terence Young"
"Sean","Connery","Lewis Gilbert"
"Sean","Connery","Guy Hamilton"
"George","Lazenby","Peter R. Hunt"
"Roger","Moore","Guy Hamilton"
"Roger","Moore","Guy Hamilton"
"Roger","Moore","Lewis Gilbert"
"Roger","Moore","Lewis Gilbert"
"Roger","Moore","John Glen"
"Roger","Moore","John Glen"
"Roger","Moore","John Glen"
"Pierce","Brosnan","Martin Campbell"
"Pierce","Brosnan","Roger Spottiswoode"
"Pierce","Brosnan","Michael Apted"
"Pierce","Brosnan","Lee Tamahori"
"Bernard","Lee","Terence Young"
