"671017","Blast From the Past","Hugh Wilson"
"671019","Indiana Jones and the Temple of Doom","Steven Spielberg"
"156001","Aviator","Martin Scorsese"
"156003","Love the Hard Way","Peter Sehr"
"156005","The Terminator","James Cameron"
"156006","Jurassic Park","Steven Spielberg"
"872002","Are We There Yet","Brian Levant"
"872004","Dodgeball: A True Underdog Story","Rawson Marshall Thurber"
"872007","Man on Fire","Tony Scott"
"872008","The Stepford Wives","Frank Oz"
"872010","Collateral","Michael Mann"
"872011","Ray","Taylor Hackford"
"872012","Bad Company","Joel Schumacher"
"788001","When Harry Met Sally","Rob Reiner"
"788002","Being Human","Bill Forsyth"
"788003","American History X","Tony Kaye"
"788004","Bone Collector","Phillip Noyce"
"788007","Ride With the Devil","Ang Lee"
"788008","Master and Commander: The Far Side of the World","Peter Weir"
"788009","The Others","Alejandro Amenabar"
"788012","Almost Famous","Cameron Crowe"
"788014","Proof of Life","Taylor Hackford"
"788015","Philadelphia","Jonathan Demme"
"788016","Courage Under Fire","Edward Zwick"
"788017","You've Got Mail","Nora Ephron"
"525001","Dr. No","Terence Young"
"525002","From Russia with Love","Terence Young"
"525003","Goldfinger","Guy Hamilton"
"525004","Thunderball","Terence Young"
"525005","You Only Live Twice","Lewis Gilbert"
"525006","On Her Majestys Secret Service","Peter R. Hunt"
"525007","Diamonds are Forever","Guy Hamilton"
"525008","Live and Let Die","Guy Hamilton"
"525009","The Man with the Golden Gun","Guy Hamilton"
"525010","The Spy Who Loved Me","Lewis Gilbert"
"525011","Moonraker","Lewis Gilbert"
"525012","For Your Eyes Only","John Glen"
"525013","Octopussy","John Glen"
"525014","A View to a Kill","John Glen"
"525015","The Living Daylights","John Glen"
"525016","Licence to Kill","John Glen"
"525017","GoldenEye","Martin Campbell"
"525018","Tomorrow Never Dies","Roger Spottiswoode"
"525019","The World is Not Enough","Michael Apted"
"525020","Die Another Day","Lee Tamahori"
"764001","The Village","M. Night Shyamalan"
"764004","Spider-Man 2","Sam Raimi"
"764007","The Polar Express","Robert Zemeckis"
"764008","Hellboy","Guillermo del Toro"
"764009","50 First Dates","Peter Segal"
"855001","Rush Hour 2","Brett Ratner"
"855002","The Fifth Element","Luc Besson"
"855004","Runaway Bride","Garry Marshall"
"855005","Ocean Twelve","Steven Soderbergh"
"855008","Sleepy Hollow","Tim Burton"
"855009","External Sunshine of the Spotless Mind","Michel Gondry"
"683002","Scarface","Brian De Palma"
"683004","Driven","Renny Harlin"
"683005","Any Given Sunday","Oliver Stone"
"683006","Oceans Eleven","Steven Soderbergh"
"683007","The Fast and the Furious","Rob Cohen"
"683008","Barbershop","Tim Story"
"683009","Black Hawk Down","Ridley Scott"
"150001","Charlie and the Chocolate Factory","Tim Burton"
"150002","Are We There Yet","Brian Levant"
"150003","Beautiful Boxer","Ekachai Uekrongtham"
"150004","Alone in the Dark ","Uwe Boll"
"150005","Hide and Seek","John Polson"
"150006","Coach Carter","Thomas Carter"
"150008","Racing Stripes","Frederik Du Chau"
"150009","Kingdom of Heaven","Ridley Scott"
"150010","Alexander","Oliver Stone"
"634005","The Lord of the Rings: The Two Towers","Peter Jackson"
"634006","The Lord of the Rings: The Return of the King","Peter Jackson"
"634007","Crouching Tiger Hidden Dragon","Ang Lee"
"634008","You Got Served","Christopher B. Stokes"
"634002","The Matrix Reloaded","Wachowski Brothers"
"326002","Godsend","Nick Hamm"
"326004","Along Came Polly","John Hamburg"
"326006","Lemony Snicket's A Series of Unfortunate Events","Brad Silberling"
"326008","Birth","Jonathan Glazer"
"412002","Snatch.","Guy Ritchie"
"412004","X2","Bryan Singer"
"412005","The Merchant of Venice","Michael Radford"
"412007","Vanilla Sky","Cameron Crowe"
"140001","Bourne Identity","Doug Liman"
"140009","Bride and Prejudice","Gurinder Chadha"
"140010","The Hunted","William Friedkin"
"492001","Star Wars, Episode 3: Revenge of the Sith","George Lucas"
"492002","The Lord of the Rings: The Return of the King","Peter Jackson"
"492003","The Lord of the Rings: The Two Towers","Peter Jackson"
"492009","Hotel Rwanda","Terry George"
"259001","About A Boy","Chris Weitz"
"259003","Hero","Yimou Zhang"
"259004","Lost In Translation","Sofia Coppola"
"259005","Wonder Boys","Curtis Hanson"
"259006","Before Sunrise","Richard Linklater"
"259008","Requiem For a Dream","Darren Aronofsky"
"907000","One Eight Seven","Kevin Reynolds"
"907001","Thir13en Ghosts","Steve Beck"
"907002","24 Hour Party People","Michael Winterbottom"
"907003","2001: A Space Odyssey","Stanley Kubrick"
"907005","3000 Miles to Graceland","Demian Lichtenstein"
"907006","The Affair of the Necklace","Charles Shyer"
"907008","All or Nothing","Mike Leigh"
"907009","All Over Me","Alex Sichel"
"217002","The New World","Terrence Malick"
"217003","Hide And Seek","John Polson"
"217005","Racing Stripes","Frederik Du Chau"
"217006","Cinderella Man","Ron Howard"
"217007","The Ring 2","Hideo Nakata"
"217008","Robots","Chris Wedge"
"217009","Son Of The Mask","Larry Guterman"
"217010","Kingdom Of Heaven","Ridley Scott"
"217011","Bride And Prejudice","Gurinder Chadha"
"217012","Miss Congeniality 2: ARMED AND FABULOUS","John Pasquin"
"217013","Swimming Upstream","Russell Mulcahy"
"217014","Cube Zero","Ernie Barbarash"
"217015","Unleashed","Louis Leterrier"
"217016","Spiderman 2","Sam Raimi"
"217017","Hitch","Andy Tennant"
"217018","Million Dollar Baby","Clint Eastwood"
"217019","The Machinist","Brad Anderson"
"217020","Alexander","Oliver Stone"
"631001","Roman Holiday","William Wyler"
"631002","Breakfast at Tiffany's","Blake Edwards"
"631003","Anna and the King","Andy Tennant"
"631004","Gone with the Wind","Victor Flemming, George Cukor, Sam Wood"
"631005","Home Alone","Chris Columbus"
"631006","Home Alone 2: Lost in New York","Chris Columbus"
"631008","City Light","Charles Chaplin"
"631009","Shogun","Jerry London"
"631010","License To Kill","John Glen"
"693004","The Goonies","Richard Donner"
"693006","Assault on Precinct 13","Jean-Fran?is Richet"
"693009","The Sixth Sense","M. Night Shyamalan"
"48011","The Phantom of the Opera","Joel Schumacher"
"422102","Eternal Sunshine of the Spotless Mind","Michel Gondry"
"422103","Le Fabuleux destin dAm?ie Poulain","Jean-Pierre Jeunet"
"422104","Ghost World","Terry Zwigoff"
"422105","Girl with a Pearl Earring","Peter Webber"
"422106","I Heart Huckabees","David O. Russell"
"422108","Donnie Darko","Richard Kelly"
"422109","The Princess Bride","Rob Reiner"
"422110","Vampire Effect","Dante Lam"
"658003","American Beauty","Sam Mendes"
"658004","Shakespeare in Love","John Madden"
"658008","Catch Me If You Can","Steven Spielberg"
"658009","8 Mile","Curtis Hanson"
"156008","Snatch","Guy Ritchie"
"490011","Traffic","Steven Soderbergh"
"764003","National Treasure","Jon Turteltaub"
"671006","Braveheart","Mel Gibson"
"693003","Ocean's Twelve","Steven Soderbergh"
"855003","Shall We Dance","Peter Chelsom"
"326005","Bruce Almighty","Tom Shadyac"
"907007","Batman Begins","Christopher Nolan"
"855007","Finding Neverland","Marc Forster"
"693008","Independence Day","Roland Emmerich"
"412008","White Noise","Geoffrey Sax"
"872005","Starsky & Hutch","Todd Phillips"
"872006","Training Day","Antonie Fuqua"
"490006","Cold Mountain","Anthony Minghella"
"755005","Moulin Rouge","Baz Luhrmann"
"788018","The terminal","Steven Spielberg"
"755003","Garden State","Zach Braff"
"855006","Intolerable Cruelty","Joel Coen"
"658006","Mystic River","Clint Eastwood"
"788013","A Beautiful Mind","Ron Howard"
"872003","Meet the Fockers","Jay Roach"
"907004","A Clockwork Orange","Stanley Kubrik"
"764010","Oceans Twelve","Steven Soderbergh"
"755012","The Matrix","Wachowski Brothers"
"693007","Forrest Gump","Robert Zemeckis"
"634003","The Matrix Revolutions","Wachowski Brothers"
"634004","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson"
"755007","Raiders Of The Lost Ark","Steven Spielberg"
"492006","In Good Company","Paul Weitz"
"140003","Mr. and Mrs. Smith","Doug Liman"
"658001","Titanic","James Cameron"
"872001","Catwoman","Pitof"
"788010","Love Actually","Richard Curtis"
"683001","The Godfather","Francis Ford Coppola"
"693005","Coach Carter","Thomas Carter"
"788005","Good Will Hunting","Gus Van Sant"
"764005","The Incredibles","Brad Bird"
"671020","Indiana Jones and the Last Crusade","Steven Spielberg"
"634009","Ocean's Eleven","Steven Soderbergh"
"140004","Gone in 60 Seconds","Dominic Sena"
"755006","Oceans Eleven","Steven Soderbergh"
"693000","The Aviator","Martin Scorsese"
"693001","Elektra","Rob Bowman"
"764002","Troy","Wolfgang Peterson"
"683003","Boiler Room","Ben Younger"
"872009","Eyes Wide Shut","Stanley Kubrick"
"788011","Fahrenheit 9/11","Michael Moore"
