"490003","Hostage","Florent Emilio Siri"
"490008","The Sound of Music","Robert Wise"
"490010","Walk in the Clouds","Alfonso Arau"
"490012","Pretty Woman","Gary Marshall"
"490015","Notting Hill","Roger Michell"
"490016","Stepmom","Chris Columbus"
"755001","Amelie","Jean-Pierre Jeunet"
"755004","Hero","Zhang Yimou"
"755008","Seven","David Fincher"
"755009","Shrek","Andrew Adamson Vicky Jenson"
"755010","Terminator 2","James Cameron"
"755013","White Chicks","Keenan Ivory Wayans"
"755014","Star Wars: Episode I","George Lucas"
"901","Eurotrip","Jeff Schaffer"
"905","Star Wars: Episode III - Revenge of the Sith","George Lucas"
"907","Bicentennial Man","Chris Columbus"
"908","Lord of the Rings: The Return of the King","Peter Jackson"
"910","Spider Man 2","Sam Raimi"
"921","Smallville: Season 3","Alfred Gough"
"925","The Majestic","Frank Darabont"
"926","Insomnia","Christopher Nolan"
"927","Lord of the Rings: The Two Towers","Peter Jackson"
"928","Daredevil","Mark Steven Johnson"
"929","Spider Man","Sam Raimi"
"135001","12 Monkeys","Terry Gilliam"
"135002","Blade Runner","Ridley Scott"
"135004","The Usual Suspects","Bryan Singer"
"135005","Zoolander","Ben Stiller"
"135006","The Life Aquatic","Wes Anderson"
"135007","The Lost Boys","Joel Schumacher"
"135009","The Royal Tenenbaums","Wes Anderson"
"135011","A Nightmare On Elm Street","Wes Craven"
"135012","Dumb and Dumber","Peter Farrelly"
"135013","Elf","Jon Favreau"
"135014","Monty Python and the Holy Grail","Terry Jones"
"671001","Alien","Ridley Scott"
"671002","Aliens","James Cameron"
"671003","Alien3","David Fincher"
"671004","Bowling for Columbine","Michael Moore"
"671007","Saving Private Ryan","Steven Spielberg"
"671009","The Mask","Chuck Russell"
"671010","Dogma","Kevin Smith"
"671011","Starship Troopers","Paul Verhoeven"
"671013","Men In Black","Barry Sonnenfeld"
"671014","Men in Black II","Barry Sonnenfeld"
"671015","The Mummy","Stephen Sommers"
"671016","The Mummy Returns","Stephen Sommers"
