"Michael","Douglas","Traffic"
"Julie","Andrews","The Sound of Music"
"Zach","Braff","Garden State"
"Harrison","Ford","Raiders Of The Lost Ark"
"Jet","Li","Hero"
"Mike","Myers","Shrek"
"Keanu","Reeves","The Matrix"
"Audrey","Tautou","Amelie"
"Marlon","Wayans","White Chicks"
"Ewan","MacGregor","Moulin Rouge"
"Ewan","MacGregor","Star Wars: Episode I"
"Natalie","Portman","Garden State"
"Natalie","Portman","Star Wars: Episode I"
"Cameron","Diaz","Shrek"
"New Eddie","Murphy","Shrek"
"Kristin","Kreuk","Eurotrip"
"Kirsten Dunst","Kreuk","Spider Man 2"
"Kristin","Kreuk","Smallville: Season 3"
"Kirsten Dunst","Kreuk","Spider Man"
"Madeleine","Stowe","12 Monkeys"
"Rutger","Hauer","Blade Runner"
"Daryl","Hannah","Blade Runner"
"Kevin","Spacey","The Usual Suspects"
"Gabriel","Byrne","The Usual Suspects"
"Bill","Murray","The Life Aquatic"
"Cate ","Blanchett","The Life Aquatic"
"Kiefer","Sutherland","The Lost Boys"
"Jeff","Daniels","Dumb and Dumber"
"Will","Farrel","Elf"
"Graham","Chapman","Monty Python and the Holy Grail"
"Mel","Gibson","Braveheart"
"Jim","Carrey","The Mask"
"Casper","Van Dien","Starship Troopers"
"Brendan","Fraser","The Mummy"
"Brendan","Fraser","The Mummy Returns"
"Brendan","Fraser","Blast From the Past"
"Charlotte","Ayanna","Love the Hard Way"
"Arnold","Schwarzenegger","The Terminator"
"Linda","Hamilton","The Terminator"
"Jeff","Goldblum","Jurassic Park"
"Linda","Hamilton","Jurassic Park"
"Vinnie","Jones","Snatch"
"Samuel L.","Jackson","Jurassic Park"
"Halle","Barry","Catwoman"
"Ice","Cube","Are We There Yet"
"Ben","Stiller","Meet the Fockers"
"Ben","Stiller","Dodgeball: A True Underdog Story"
"Vince","Vaughn","Dodgeball: A True Underdog Story"
"Vince","Vaughn","Starsky & Hutch"
"Snoop","Dogg","Starsky & Hutch"
"Snoop","Dogg","Training Day"
"Denzel","Washington","Training Day"
"Denzel","Washington","Man on Fire"
"Christopher","Walken","Man on Fire"
"Christopher","Walken","The Stepford Wives"
"Nicole","Kidman","The Stepford Wives"
"Nicole","Kidman","Eyes Wide Shut"
"Tom","Cruise","Eyes Wide Shut"
"Tom","Cruise","Collateral"
"Jamie","Fox","Collateral"
"Jamie","Fox","Ray"
"Kerry","Washington","Ray"
"Kerry","Washington","Bad Company"
"Meg","Ryan","When Harry Met Sally"
"Meg","Ryan","Proof of Life"
"Meg","Ryan","Courage Under Fire"
"Meg","Ryan","You've Got Mail"
"Robin","Williams","Being Human"
"Robin","Williams","Good Will Hunting"
"Russell","Crowe","Master and Commander: The Far Side of the World"
"Russell","Crowe","A Beautiful Mind"
"Russell","Crowe","Proof of Life"
"Matt","Damon","Good Will Hunting"
"Matt","Damon","Courage Under Fire"
"Angelina","Jolie","Bone Collector"
"Tobey","Maguire","Ride With the Devil"
"Tom","Hanks","Philadelphia"
"Tom","Hanks","You've Got Mail"
"Tom","Hanks","The terminal"
"Kate","Hudson","Almost Famous"
"Sean","Connery","Dr. No"
"Sean","Connery","From Russia with Love"
"Sean","Connery","Goldfinger"
"Sean","Connery","Thunderball"
"Sean","Connery","You Only Live Twice"
"Sean","Connery","Diamonds are Forever"
"George","Lazenby","On Her Majestys Secret Service"
"Roger","Moore","Live and Let Die"
"Roger","Moore","The Man with the Golden Gun"
"Roger","Moore","The Spy Who Loved Me"
"Roger","Moore","Moonraker"
"Roger","Moore","For Your Eyes Only"
"Roger","Moore","Octopussy"
"Roger","Moore","A View to a Kill"
"Pierce","Brosnan","GoldenEye"
"Pierce","Brosnan","Tomorrow Never Dies"
"Pierce","Brosnan","The World is Not Enough"
"Pierce","Brosnan","Die Another Day"
"Bernard","Lee","Dr. No"
"Bernard","Lee","From Russia with Love"
"Bernard","Lee","Goldfinger"
"Bernard","Lee","Thunderball"
"Bernard","Lee","You Only Live Twice"
"Bernard","Lee","On Her Majestys Secret Service"
"Bernard","Lee","Diamonds are Forever"
"Bernard","Lee","Live and Let Die"
"Bernard","Lee","The Man with the Golden Gun"
"Bernard","Lee","The Spy Who Loved Me"
"Bernard","Lee","Moonraker"
"Robert","Brown","Octopussy"
"Robert","Brown","A View to a Kill"
"Robert","Brown","The Living Daylights"
"Robert","Brown","Licence to Kill"
"Judi","Dench","GoldenEye"
"Judi","Dench","Tomorrow Never Dies"
"Judi","Dench","The World is Not Enough"
"Judi","Dench","Die Another Day"
"Lois","Maxwell","Dr. No"
"Lois","Maxwell","From Russia with Love"
"Lois","Maxwell","Goldfinger"
"Lois","Maxwell","Thunderball"
"Lois","Maxwell","You Only Live Twice"
"Lois","Maxwell","On Her Majestys Secret Service"
"Lois","Maxwell","Diamonds are Forever"
"Lois","Maxwell","Live and Let Die"
"Lois","Maxwell","The Man with the Golden Gun"
"Lois","Maxwell","The Spy Who Loved Me"
"Lois","Maxwell","Moonraker"
"Lois","Maxwell","For Your Eyes Only"
"Lois","Maxwell","Octopussy"
"Lois","Maxwell","A View to a Kill"
"Caroline","Bliss","The Living Daylights"
"Caroline","Bliss","Licence to Kill"
"Samantha","Bond","GoldenEye"
"Samantha","Bond","Tomorrow Never Dies"
"Samantha","Bond","The World is Not Enough"
"Samantha","Bond","Die Another Day"
"Desmond","Llewelyn","From Russia with Love"
"Desmond","Llewelyn","Goldfinger"
"Desmond","Llewelyn","Thunderball"
"Desmond","Llewelyn","You Only Live Twice"
"Desmond","Llewelyn","On Her Majestys Secret Service"
"Desmond","Llewelyn","Diamonds are Forever"
"Desmond","Llewelyn","The Man with the Golden Gun"
"Desmond","Llewelyn","The Spy Who Loved Me"
"Desmond","Llewelyn","Moonraker"
"Desmond","Llewelyn","For Your Eyes Only"
"Desmond","Llewelyn","Octopussy"
"Desmond","Llewelyn","A View to a Kill"
"Desmond","Llewelyn","The Living Daylights"
"Desmond","Llewelyn","Licence to Kill"
"Desmond","Llewelyn","GoldenEye"
"Desmond","Llewelyn","Tomorrow Never Dies"
"Desmond","Llewelyn","The World is Not Enough"
"John","Cleese","The World is Not Enough"
"John","Cleese","Die Another Day"
"Joaquin","Phoenix","The Village"
"Diane","Kruger","Troy"
"Nicholas","Cage","National Treasure"
"Holly","Hunter","The Incredibles"
"Nona","Gaye","The Polar Express"
"Ron","Perlman","Hellboy"
"Adam","Sandler","50 First Dates"
"Bryce","Howard","The Village"
"Adrien","Brody","The Village"
"William","Hurt","The Village"
"Sigourney","Weaver","The Village"
"Brendan","Gleeson","The Village"
"Micheal","Pitt","The Village"
"John","Hurt","Hellboy"
"Selma","Blair","Hellboy"
"Jeffery","Tambor","Hellboy"
"David","Pierce","Hellboy"
"Jackie","Chan","Rush Hour 2"
"Chris","Tucker","Rush Hour 2"
"Chris","Tucker","The Fifth Element"
"Bruce","Willis","The Fifth Element"
"Jennifer","Lopez","Shall We Dance"
"Richard","Gere","Shall We Dance"
"Richard","Gere","Runaway Bride"
"Julia","Roberts","Runaway Bride"
"Julia","Roberts","Ocean Twelve"
"Brad","Pitt","Ocean Twelve"
"Catherine","Zeta-Jones","Ocean Twelve"
"George","Clooney","Ocean Twelve"
"Catherine","Zeta-Jones","Intolerable Cruelty"
"George","Clooney","Intolerable Cruelty"
"Johnny","Depp","Finding Neverland"
"Kate","Winslet","Finding Neverland"
"Johnny","Depp","Sleepy Hollow"
"Christina","Ricci","Sleepy Hollow"
"Kate","Winslet","External Sunshine of the Spotless Mind"
"Jim","Carrery","External Sunshine of the Spotless Mind"
"Al","Pacino","Scarface"
"Al","Pacino","The Godfather"
"Al","Pacino","Any Given Sunday"
"Marlon","Brando","The Godfather"
"Giovanni","Ribisi","Boiler Room"
"Sylvester","Stallone","Driven"
"Paul","Walker","The Fast and the Furious"
"Vin","Diesel","The Fast and the Furious"
"Vin","Diesel","Boiler Room"
"Josh","Hartnett","Black Hawk Down"
"Michelle","Pfeiffer","Scarface"
"Steven","Bauer","Scarface"
"Gina","Gershon","Driven"
"Estella","Warren","Driven"
"Jordana","Brewster","The Fast and the Furious"
"Jamie","Foxx","Any Given Sunday"
"Ice","Cube","Are We There Yet"
"Asanee","Suwan","Beautiful Boxer"
"Christian","Slater","Alone in the Dark "
"Robert","De Niro","Hide and Seek"
"Samuel","Jackson","Coach Carter"
"Emmet","Walsh","Racing Stripes"
"Colin","Farrell","Alexander"
"Laurence ","Fishburne","The Matrix Reloaded"
"Laurence ","Fishburne","The Matrix Revolutions"
"Orlando","Bloom","The Lord of the Rings: The Fellowship of the Ring"
"Orlando","Bloom","The Lord of the Rings: The Two Towers"
"Orlando","Bloom","The Lord of the Rings: The Return of the King"
"Liv","Tyler","The Lord of the Rings: The Fellowship of the Ring"
"Liv","Tyler","The Lord of the Rings: The Two Towers"
"Liv","Tyler","The Lord of the Rings: The Return of the King"
"Hugo","Weaving","The Matrix Reloaded"
"Hugo","Weaving","The Matrix Revolutions"
"Hugo","Weaving","The Lord of the Rings: The Fellowship of the Ring"
"Hugo","Weaving","The Lord of the Rings: The Two Towers"
"Hugo","Weaving","The Lord of the Rings: The Return of the King"
"Viggo","Mortensen","The Lord of the Rings: The Fellowship of the Ring"
"Viggo","Mortensen","The Lord of the Rings: The Two Towers"
"Viggo","Mortensen","The Lord of the Rings: The Return of the King"
"Ian","McKellen","The Lord of the Rings: The Fellowship of the Ring"
"Ian","McKellen","The Lord of the Rings: The Two Towers"
"Ian","McKellen","The Lord of the Rings: The Return of the King"
"Elijah","Wood","The Lord of the Rings: The Fellowship of the Ring"
"Elijah","Wood","The Lord of the Rings: The Two Towers"
"Elijah","Wood","The Lord of the Rings: The Return of the King"
"Zhang","Ziyi","Crouching Tiger Hidden Dragon"
"Jennifer","Aniston","Along Came Polly"
"Jennifer","Aniston","Bruce Almighty"
"Meryl","Streep","Lemony Snicket's A Series of Unfortunate Events"
"Kelly","Hu","X2"
"Halle","Berry","X2"
"Rebecca","Romijn-Stamos","X2"
"Hugh","Jackman","X2"
"Franka","Potente","Bourne Identity"
"Chris","Cooper","Bourne Identity"
"Brian","Cox","Bourne Identity"
"Greg","Ellis","Mr. and Mrs. Smith"
"Nickolas","Cage","Gone in 60 Seconds"
"Giovanni","Ribsi","Gone in 60 Seconds"
"William","Scott","Gone in 60 Seconds"
"Scott","Caan","Gone in 60 Seconds"
"Aishwarya","Rai","Bride and Prejudice"
"TommyLee","Jones","The Hunted"
"Benicio","Del Toro","The Hunted"
"Ian","Holm","The Lord of the Rings: The Return of the King"
"Ian","Holm","The Lord of the Rings: The Two Towers"
"Don","Cheadle","Hotel Rwanda"
"Samuel","Jackson","One Eight Seven"
"Tony","Shalhoub","Thir13en Ghosts"
"Steve","Coogan","24 Hour Party People"
"Keir","Dullea","2001: A Space Odyssey"
"Malcolm","McDowell","A Clockwork Orange"
"Kurt","Russell","3000 Miles to Graceland"
"Hilary","Swank","The Affair of the Necklace"
"Christian","Bale","Batman Begins"
"Timothy","Spall","All or Nothing"
"Tara","Subkoff","All Over Me"
"Tara","Subkoff","One Eight Seven"
"Timothy","Spall","Thir13en Ghosts"
"Christian","Bale","24 Hour Party People"
"Hilary","Swank","2001: A Space Odyssey"
"Kurt","Russell","A Clockwork Orange"
"Malcolm","McDowell","3000 Miles to Graceland"
"Keir","Dullea","The Affair of the Necklace"
"Steve","Coogan","Batman Begins"
"Tony","Shalhoub","All or Nothing"
"Samuel","Jackson","All Over Me"
"Colin","Ferrell","The New World"
"Colin","Ferrell","Alexander"
"Clint","Eastwood","Million Dollar Baby"
"Kirsten","Dunst","Spiderman 2"
"Geoffrey","Rush","Swimming Upstream"
"Frankie","Muniz","Racing Stripes"
"Whoopi","Goldberg","Racing Stripes"
"Naomi","Watts","The Ring 2"
"Jamie","Kennedy","Son Of The Mask"
"Martin","Henderson","Bride And Prejudice"
"Sandra","Bullock","Miss Congeniality 2: ARMED AND FABULOUS"
"Gregory","Peck","Roman Holiday"
"Audrey","Hepburn","Roman Holiday"
"Audrey","Hepburn","Breakfast at Tiffany's"
"Jodie","Foster","Anna and the King"
"Yun-Fat","Chow","Anna and the King"
"Clark","Gable","Gone with the Wind"
"Vivien","Leigh","Gone with the Wind"
"Macaulay","Culkin","Home Alone"
"Macaulay","Culkin","Home Alone 2: Lost in New York"
"Charles","Chaplin","City Light"
"Richard","Chamberlain","Shogun"
"Timothy","Dalton","License To Kill"
"George","Peppard","Breakfast at Tiffany's"
"Patricia","Neal","Breakfast at Tiffany's"
"Buddy","Ebsen","Breakfast at Tiffany's"
"Mickey","Rooney","Breakfast at Tiffany's"
"Leonardo","DiCaprio","The Aviator"
"Jennifer","Garner","Elektra"
"Brad","Pitt","Ocean's Twelve"
"Sean","Astin","The Goonies"
"Leonardo","DiCaprio","Coach Carter"
"Leonardo","DiCaprio","Assault on Precinct 13"
"Catherine","Zeta-Jones","Ocean's Twelve"
"Ashanti","Douglas","Coach Carter"
"Laurence","Fishburne","Assault on Precinct 13"
"Ethan","Hawke","Assault on Precinct 13"
"Gary","Sinise","Forrest Gump"
"Will","Smith","Independence Day"
"Bruce","Willis","The Sixth Sense"
"Alec","Baldwin","The Aviator"
"Gerard","Butler","The Phantom of the Opera"
"Minnie","Driver","The Phantom of the Opera"
"Mark","Ruffalo","Eternal Sunshine of the Spotless Mind"
"Jake","Gyllenhaal","Donnie Darko"
"Scarlett","Johansson","Ghost World"
"Scarlett","Johansson","Girl with a Pearl Earring"
"Jude","Law","I Heart Huckabees"
"Billy","Crystal","The Princess Bride"
"Colin","Firth","Girl with a Pearl Earring"
